series_id                     	year	period	       value	footnote_codes
SMS01000002000000001          	2007	M01	       112.5	
SMS01000002000000001          	2007	M02	       113.1	
SMS01000002000000001          	2007	M03	       113.2	
SMS01000002000000001          	2007	M04	       112.3	
SMS01000002000000001          	2007	M05	       111.8	
SMS01000002000000001          	2007	M06	       112.0	
SMS01000002000000001          	2007	M07	       111.5	
SMS01000002000000001          	2007	M08	       112.2	
SMS01000002000000001          	2007	M09	       113.3	
SMS01000002000000001          	2007	M10	       113.6	
SMS01000002000000001          	2007	M11	       112.9	
SMS01000002000000001          	2007	M12	       113.4	
SMS01000002000000001          	2008	M01	       112.7	
SMS01000002000000001          	2008	M02	       112.4	
SMS01000002000000001          	2008	M03	       110.5	
SMS01000002000000001          	2008	M04	       110.8	
SMS01000002000000001          	2008	M05	       110.1	
SMS01000002000000001          	2008	M06	       109.6	
SMS01000002000000001          	2008	M07	       109.4	
SMS01000002000000001          	2008	M08	       107.9	
SMS01000002000000001          	2008	M09	       107.4	
SMS01000002000000001          	2008	M10	       104.7	
SMS01000002000000001          	2008	M11	       103.5	
SMS01000002000000001          	2008	M12	       102.5	
SMS01000002000000001          	2009	M01	        97.2	
SMS01000002000000001          	2009	M02	        95.4	
SMS01000002000000001          	2009	M03	        94.4	
SMS01000002000000001          	2009	M04	        92.8	
SMS01000002000000001          	2009	M05	        92.6	
SMS01000002000000001          	2009	M06	        91.8	
SMS01000002000000001          	2009	M07	        90.8	
SMS01000002000000001          	2009	M08	        89.8	
SMS01000002000000001          	2009	M09	        88.5	
SMS01000002000000001          	2009	M10	        87.5	
SMS01000002000000001          	2009	M11	        88.7	
SMS01000002000000001          	2009	M12	        89.4	
SMS01000002000000001          	2010	M01	        87.8	
SMS01000002000000001          	2010	M02	        87.2	
SMS01000002000000001          	2010	M03	        87.5	
SMS01000002000000001          	2010	M04	        88.2	
SMS01000002000000001          	2010	M05	        88.3	
SMS01000002000000001          	2010	M06	        89.2	
SMS01000002000000001          	2010	M07	        88.0	
SMS01000002000000001          	2010	M08	        87.4	
SMS01000002000000001          	2010	M09	        86.5	
SMS01000002000000001          	2010	M10	        85.9	
SMS01000002000000001          	2010	M11	        84.9	
SMS01000002000000001          	2010	M12	        83.5	
SMS01000002000000001          	2011	M01	        80.0	
SMS01000002000000001          	2011	M02	        80.9	
SMS01000002000000001          	2011	M03	        81.1	
SMS01000002000000001          	2011	M04	        80.7	
SMS01000002000000001          	2011	M05	        81.3	
SMS01000002000000001          	2011	M06	        80.8	
