series_id                     	state_code	area_code	supersector_code	industry_code	data_type_code	seasonal	benchmark_year	footnote_codes	begin_year	begin_period	end_year	end_period
SMS00000000000000021          	00	00000	00	00000000	21	S	2024		1991	M01	2025	M12
SMS00000000000000022          	00	00000	00	00000000	22	S	2024		1991	M01	2025	M12
SMS00000000000000023          	00	00000	00	00000000	23	S	2024		1991	M01	2025	M12
SMS00000000000000024          	00	00000	00	00000000	24	S	2024		1991	M01	2025	M12
SMS01000000000000001          	01	00000	00	00000000	01	S	2024		1990	M01	2025	M12
SMS01000000000000026          	01	00000	00	00000000	26	S	2024		1990	M04	2025	M12
SMS01000000500000001          	01	00000	05	05000000	01	S	2024		1990	M01	2025	M12
SMS01000000500000026          	01	00000	05	05000000	26	S	2024		1990	M04	2025	M12
SMS01000000600000001          	01	00000	06	06000000	01	S	2024		1990	M01	2025	M12
SMS01000000700000001          	01	00000	07	07000000	01	S	2024		1990	M01	2025	M12
SMS01000000800000001          	01	00000	08	08000000	01	S	2024		1990	M01	2025	M12
SMS01000001000000001          	01	00000	10	10000000	01	S	2024		1990	M01	2025	M12
SMS01000001500000001          	01	00000	15	15000000	01	S	2024		1990	M01	2025	M12
SMS01000002000000001          	01	00000	20	20000000	01	S	2024		1990	M01	2025	M12
SMS01000003000000001          	01	00000	30	30000000	01	S	2024		1990	M01	2025	M12
SMS01000003100000001          	01	00000	31	31000000	01	S	2024		1990	M01	2025	M12
SMS01000003200000001          	01	00000	32	32000000	01	S	2024		1990	M01	2025	M12
SMS01000004000000001          	01	00000	40	40000000	01	S	2024		1990	M01	2025	M12
SMS01000004100000001          	01	00000	41	41000000	01	S	2024		1990	M01	2025	M12
SMS01000004200000001          	01	00000	42	42000000	01	S	2024		1990	M01	2025	M12
SMS01000004300000001          	01	00000	43	43000000	01	S	2024		1990	M01	2025	M12
SMS01000005000000001          	01	00000	50	50000000	01	S	2024		1990	M01	2025	M12
SMS01000005500000001          	01	00000	55	55000000	01	S	2024		1990	M01	2025	M12
SMS01000005552000001          	01	00000	55	55520000	01	S	2024		1990	M01	2025	M12
SMS01000005553000001          	01	00000	55	55530000	01	S	2024		1990	M01	2025	M12
SMS01000006000000001          	01	00000	60	60000000	01	S	2024		1990	M01	2025	M12
SMS01000006054000001          	01	00000	60	60540000	01	S	2024		1990	M01	2025	M12
SMS01000006055000001          	01	00000	60	60550000	01	S	2024		1990	M01	2025	M12
SMS01000006056000001          	01	00000	60	60560000	01	S	2024		1990	M01	2025	M12
SMS01000006500000001          	01	00000	65	65000000	01	S	2024		1990	M01	2025	M12
SMS01000006561000001          	01	00000	65	65610000	01	S	2024		1990	M01	2025	M12
SMS01000006562000001          	01	00000	65	65620000	01	S	2024		1990	M01	2025	M12
SMS01000007000000001          	01	00000	70	70000000	01	S	2024		1990	M01	2025	M12
SMS01000007071000001          	01	00000	70	70710000	01	S	2024		1990	M01	2025	M12
SMS01000007072000001          	01	00000	70	70720000	01	S	2024		1990	M01	2025	M12
SMS01000008000000001          	01	00000	80	80000000	01	S	2024		1990	M01	2025	M12
SMS01000009000000001          	01	00000	90	90000000	01	S	2024		1990	M01	2025	M12
SMS01000009091000001          	01	00000	90	90910000	01	S	2024		1990	M01	2025	M12
SMS01000009092000001          	01	00000	90	90920000	01	S	2024		1990	M01	2025	M12
SMS01000009093000001          	01	00000	90	90930000	01	S	2024		1990	M01	2025	M12
SMS01115000000000001          	01	11500	00	00000000	01	S	2024		1990	M01	2025	M12
SMS01115000000000026          	01	11500	00	00000000	26	S	2024		1990	M04	2025	M12
SMS01122200000000001          	01	12220	00	00000000	01	S	2024		1990	M01	2025	M12
SMS01122200000000026          	01	12220	00	00000000	26	S	2024		1990	M04	2025	M12
